ID,Title,Rank,Score,ScoredBy,Popularity,Members,Favorites,Season,Episodes
20709,Sabage-bu!,1994,7.43,40445,988,109299,458,138,12
10507,Inazuma Eleven Go,3195,7.15,21836,2206,37845,255,125,47
260,Happy☆Lesson (TV),4903,6.74,9671,3009,21512,23,89,13
12471,Eureka Seven AO,4685,6.78,31528,1394,74162,193,129,24
2605,Sayonara Zetsubou Sensei,637,7.95,95535,395,242287,4190,110,12
20689,Hamatora The Animation,2197,7.38,90699,504,207096,929,136,12
5114,Fullmetal Alchemist: Brotherhood,1,9.23,934970,4,1541527,135736,117,64
35073,Overlord II,656,7.94,231589,177,416398,2687,152,13
2222,Dr. Slump: Arale-chan,2830,7.23,2824,4411,9177,46,5,243
12281,Rinne no Lagrange Season 2,3693,7.03,10436,2904,23158,15,130,12
4196,Ikkitousen: Great Guardians,4293,6.87,22128,1881,48650,83,114,12
38619,Joshikousei no Mudazukai,944,7.79,11937,2187,38623,183,158,12
8769,Ore no Imouto ga Konnani Kawaii Wake ga Nai,2678,7.27,276163,135,477172,4354,123,12
33031,Shakunetsu no Takkyuu Musume,3250,7.14,12947,2446,31089,111,147,12
10379,Natsume Yuujinchou San,61,8.63,78843,649,163702,1094,126,13
14719,JoJo no Kimyou na Bouken (TV),205,8.34,301197,111,531680,18478,131,26
15377,Hyakka Ryouran: Samurai Bride,4371,6.85,31653,1405,73451,78,133,12
18001,Freezing Vibration,3943,6.96,62229,921,118704,192,135,12
16524,Suisei no Gargantia,1523,7.57,132251,384,246685,1099,133,13
33354,Cardcaptor Sakura: Clear Card-hen,773,7.87,20794,1388,74409,2003,152,22
573,Saber Marionette J,2079,7.41,10600,2886,23320,161,67,25
31374,Shingeki! Kyojin Chuugakkou,3535,7.07,48847,1064,100081,444,143,12
27441,Show By Rock!!,3325,7.12,16925,1752,54041,281,141,12
24277,Yowamushi Pedal: Grande Road,358,8.18,47893,1215,85778,448,139,24
1726,Devil May Cry,3468,7.08,126343,435,228163,1609,110,12
427,Kaleido Star,557,8.02,24876,1633,59309,1290,93,51
24211,Orenchi no Furo Jijou,3403,7.1,34862,1487,68237,279,139,13
18115,Magi: The Kingdom of Magic,170,8.39,250056,138,469923,6406,135,25
10197,Nyanpire The Animation,4861,6.75,11622,2910,22935,84,126,12
918,Gintama,13,8.98,169780,97,559020,38798,105,201
15605,Brothers Conflict,6290,6.45,56574,976,111342,753,134,12
39527,Try Knights,11113,4.41,1501,4087,11010,24,158,12
859,Digimon Savers,3555,7.06,32550,1635,59172,261,105,48
66,Azumanga Daioh,549,8.02,105108,436,227048,4712,89,26
3457,Vampire Knight,2768,7.25,230976,201,392969,8294,113,13
1563,Magic Knight Rayearth II,1460,7.59,12516,2837,24156,139,61,29
350,Ojamajo Doremi,2803,7.24,13806,2426,31805,388,76,51
8917,Mouretsu Pirates,2932,7.21,21130,1608,60738,265,128,26
74,Gakuen Alice,1019,7.75,36093,1458,69725,1497,99,26
2390,Hoshi no Kirby,4688,6.78,7653,3324,17636,172,87,100
1145,Kaze no Youjinbou,2838,7.23,1943,4467,8865,25,87,25
36525,Dorei-ku The Animation,7846,6.12,13448,2066,41717,40,153,12
231,Asagiri no Miko,7312,6.24,1782,5261,5958,7,90,26
1517,Silent Möbius,4263,6.88,3520,4180,10404,34,72,26
31953,New Game!,1136,7.71,121452,370,257623,2153,146,12
9656,Kimi ni Todoke 2nd Season,449,8.1,153277,362,261967,1270,124,12
655,Galaxy Angel 4,2538,7.3,2443,5184,6160,12,98,13
2903,Sakigake!! Otokojuku,2042,7.42,1760,4704,7872,68,32,34
14829,Fate/kaleid liner Prisma☆Illya,2916,7.21,75736,602,173919,849,134,10
5341,Ookami to Koushinryou II,150,8.41,186032,279,326726,3656,118,12
11933,Oda Nobuna no Yabou,1512,7.57,103781,499,208211,1061,130,12
21437,Buddy Complex,2732,7.25,30431,1553,63057,187,136,13
32697,Ozmafia!!,9718,5.51,4911,3575,15187,21,146,12
22547,Blade & Soul,7617,6.17,42631,1071,98960,128,137,13
22297,Fate/stay night: Unlimited Blade Works,236,8.3,321818,109,531286,9732,139,12
36548,Kokkoku,3276,7.13,42794,941,115622,206,152,12
653,Galaxy Angel 3,2196,7.38,3275,4779,7473,19,91,26
8476,Otome Youkai Zakuro,1600,7.54,36836,1199,86899,355,123,13
239,Gankutsuou,347,8.18,48914,664,160587,3116,99,24
11887,Kokoro Connect,704,7.91,248713,133,483277,6283,130,13
335,Matantei Loki Ragnarok,2247,7.37,12808,2468,30895,199,93,26
17115,Pokemon Best Wishes! Season 2: Episode N,4375,6.85,12160,2881,23401,59,132,14
1219,Chocotto Sister,4403,6.84,6704,3344,17338,35,106,24
553,Yami no Matsuei,3119,7.17,19705,2035,43059,417,83,13
23309,Rail Wars!,6271,6.46,58501,821,131853,202,138,12
34028,Idol Jihen,9222,5.69,2889,4120,10775,13,148,12
35183,Gurazeni,6636,6.38,2688,4499,8749,5,153,12
5983,Higepiyo,3090,7.17,1907,5611,5067,14,117,39
19855,Nobunagun,4810,6.76,24458,1722,55224,115,136,13
13203,Lupin the Third: Mine Fujiko to Iu Onna,901,7.81,15105,2157,39284,327,129,13
11179,Papa no Iukoto wo Kikinasai!,2038,7.42,75565,759,140655,549,128,12
136,Hunter x Hunter,118,8.46,139790,320,289082,7076,79,62
685,To Heart: Remember My Memories,6099,6.5,2574,4898,7050,5,99,13
